time,pv generation Alborz,pv generation Ardebil,pv generation Bushehr,pv generation Chahar Mahall and Bakhtiari,pv generation East Azarbaijan,pv generation Esfahan,pv generation Fars,pv generation Gilan,pv generation Golestan,pv generation Hamadan,pv generation Hormozgan,pv generation Ilam,pv generation Kerman,pv generation Kermanshah,pv generation Khuzestan,pv generation Kohgiluyeh and Buyer Ahmad,pv generation Kordestan,pv generation Lorestan,pv generation Markazi,pv generation Mazandaran,pv generation North Khorasan,pv generation Qazvin,pv generation Qom,pv generation Razavi Khorasan,pv generation Semnan,pv generation Sistan and Baluchestan,pv generation South Khorasan,pv generation Tehran,pv generation West Azarbaijan,pv generation Yazd,pv generation Zanjan
2025-10-15 05:00:00,4409.25521875035,8599.937939520998,23767.304579511485,15118.996463052996,28282.360433541326,126701.92103105936,137909.35423205243,2929.557647992954,10066.880376296456,9874.706178213053,85406.15891627384,14332.509460599626,224567.69280323686,12344.65130555385,42420.975268111055,12982.233747874729,20210.82500650215,20587.13533065195,19850.696951870064,8205.42539485144,25135.82382701145,9624.835265052694,11498.822407390762,163216.07302637934,87220.06141971714,220900.8009202488,124692.36518825617,11128.587481322704,15683.10953962073,146634.08337698734,13010.554283599102
2025-10-15 06:00:00,6773.501306822904,14795.189882339439,35317.73953048469,22759.586921072194,48893.70154045904,185228.29992492055,197124.89612641462,5132.45480538739,14708.06608679025,15762.685754975157,116860.4508859036,23709.857382956056,301711.7595528567,20619.041640868578,66524.7421574987,19504.644362371655,33706.37656027703,32796.283907569596,30751.286812559065,12631.323976473093,35533.12818275901,15609.861574224462,17542.830901671157,220646.04329736737,126246.47169522734,298970.396862737,163577.9186873157,16646.495258816412,27395.58406445217,203810.08634968035,21582.626235601845
2025-10-15 07:00:00,8347.93113794873,19593.764076845782,42772.03278983893,27651.65383053861,63799.73277956723,222304.78136377622,234479.252400674,6659.357894074077,17761.98285904565,19741.84314007034,136595.26188354642,30126.768464974517,349831.9846227439,26349.678251556095,82272.02049630757,23667.921374468326,43189.897040210504,40987.21799116615,38023.94347968437,15370.686577129158,42190.83868575344,19613.128400031037,21568.566560334202,255508.0378380957,151095.2680602674,352662.8524764229,186145.12273606297,20205.891182392985,35914.53919392062,238656.74477291093,27739.826398423655
2025-10-15 08:00:00,9132.266129440995,22439.166715973824,46168.830701866646,30099.640871464373,71838.98285646741,240315.52561332364,251100.16882170472,7715.5710117195495,19132.253254699095,21823.50843701043,145559.96954999285,33249.43582789865,368542.1947780436,29298.740911192348,89808.55052344043,25654.189160413905,48242.105258875854,45181.72452952948,41745.719888103835,16656.512113130622,44862.72351935702,21573.99350968044,23597.5419583029,268693.8497453959,162561.18490961057,370539.57825498504,194500.28623589454,22072.339041228613,40734.85005180165,254151.47648345746,30989.76989555531
2025-10-15 09:00:00,9347.346505681295,22510.308241187082,46894.50901149699,30721.03283010531,75118.33394308006,243138.71876985068,253627.98926489017,7299.387644574927,19183.457013310777,22475.245400689426,146176.03469638128,34430.98366239878,366839.19185321935,30387.29759300744,92111.49130099961,26176.608132519297,49998.01404904674,46577.92372437913,42724.7873043764,17018.97401577536,44607.311389091556,21791.087586138303,24051.233193751403,265404.2117625435,163289.00082986927,363202.70448227687,191727.83599310362,22288.70754696862,42566.17942199703,254286.7050176295,31827.989413594172
2025-10-15 10:00:00,8959.885468111353,21798.250712004945,44971.73479093458,29577.1713309516,73127.25598114813,231570.62482035713,241850.5855986155,7014.449119490221,17906.213271026827,21784.797195228064,135141.8831736938,33550.80061737577,343695.86055618286,29649.709700173236,89020.16924628927,25237.599365723767,48722.706608251894,45246.261523964844,41060.90463619398,16317.29228022873,41247.672891692484,20996.55743132399,22991.095524580567,244328.2326033128,153685.9129375913,333483.26925470965,177072.97065907586,21260.655635281208,41614.578810396204,239275.66142231505,30707.2320381295
2025-10-15 11:00:00,7917.636702653986,19109.79200246757,40124.54196712747,26438.027814529152,66299.2545924055,203941.87440474,213330.9642715515,6128.6684553702335,15190.933312715082,19691.671214894945,110439.82268767204,30656.89864355584,293343.7817287205,27081.674994102494,80595.34226891719,22612.57361823416,44410.88436466792,41031.235827945115,36688.26082908606,13855.41848898946,34594.41147952889,18567.95355411979,20363.731624798074,203443.8944740551,132612.59787740046,274066.38782363996,148335.23791087035,18439.788116049454,38009.06241555898,206911.2600804262,27480.03839243026
2025-10-15 12:00:00,6168.877230388711,14785.613887141242,31445.810167731146,20869.366720190177,53668.5023885916,156754.42548370908,164075.20912692323,4364.996077961792,10826.992419771968,15849.97477122466,79403.56453043772,25113.217675029606,212466.8481790105,22191.45759345593,64930.93131806029,17878.24211054926,36267.74542621231,33187.25124876847,28976.741743070386,9769.241684974952,24218.551061565817,14291.942130040554,15821.911078707806,140128.4799347201,97925.48905361096,190404.22207076396,102877.70245340599,13859.0463800211,31189.75497073523,153431.09508421976,21824.12398347
2025-10-15 13:00:00,3656.232565968124,9053.035846810983,18894.055510934417,12825.25489408697,34973.30074895533,90236.61563264481,94100.44588762154,2197.989189835985,5280.952983744988,10141.699296522625,40344.46426699089,16646.170968474566,106500.10809350741,14766.530052846423,41294.01255894882,10964.098911205352,23970.340323614048,21426.82660146142,17820.359421088182,4787.093285976662,11078.563625812445,8145.49916282381,9371.985693525537,60825.73339464653,51019.9543929327,82348.59173008255,44836.08731522802,7607.702088003003,20933.98462931938,80426.65281495167,13663.27931136375
2025-10-15 14:00:00,1026.862370244938,2906.0428158658237,5311.426710423957,3909.3710782505364,13017.108778549305,22483.04778869334,23344.670345641294,594.9521280742902,750.5186634096566,3492.0289956466054,7268.2677656700835,6397.6945828531225,14802.76532324136,5771.696568125443,13753.742681643569,3298.435831732105,9154.538546798616,7580.639563659559,5436.537943339656,1037.2142130596342,3.1560107253405336,2408.35103344298,2543.993451769174,67.52893243960561,9778.879227584133,0.0,0.0,1821.5718250839093,8473.179304280213,13736.494060319808,4443.763252264081
