technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
HVAC overhead,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,442.1414,40.0,,,,,,,,,,,,,,,,,0.0,42.007473674372484
HVDC inverter pair,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,165803.0398,40.0,,,,,,,,,,,,,,,,,0.0,15752.804034024939
HVDC overhead,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,442.1414,40.0,,,,,,,,,,,,,,,,,0.0,42.007473674372484
HVDC submarine,,,,0.0,,0.35,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1008.2934,40.0,,,,,,,,,,,,,,,,,0.0,79.16024656594472
HVDC underground,,,,0.0,,0.35,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1008.2934,40.0,,,,,,,,,,,,,,,,,0.0,79.16024656594472
Haber-Bosch,,,,0.0,,3.0,,,0.0225,,,,,,,,,,,,,,0.07,,,,1.0,,,,0.146,,,0.2473,,0.0,,,,,1.1484,1622542.4000000001,30.0,,,,,,0.1597,,,,,,,,,,,0.0225,179431.12856028677
HighT-Molten-Salt-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,166045.8871,35.0,,,,,,,,,,,,,,,,,0.0,14609.374630489345
HighT-Molten-Salt-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4444,,,,,,,,,0.0,,,,,,664183.5486,35.0,,,,,,,,,,,,,,,,,0.0,53082.85077074097
HighT-Molten-Salt-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,103333.7792,35.0,,,,,,,,,,,,,,,,,0.0,8322.70507470541
Hydrogen fuel cell (passenger cars),,,,0.0,,1.1,,,0.0,,,,,,,,,,,,,,0.07,,,,0.48,,,,,,,,,0.0,,,,,,43500.0,15.0,,,,,,,,,,,,,,,,,0.0,5254.566174493782
Hydrogen fuel cell (trucks),,,,0.0,,12.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.56,,,,,,,,,0.0,,,,,,122291.0,15.0,,,,,,,,,,,,,,,,,0.0,28713.269449310785
Hydrogen-charger,,,,0.0,,0.5473,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6963,,,,,,,,,0.0,,,,,,825760.6159,30.0,,,,,,,,,,,,,,,,,0.0,71064.4660473218
Hydrogen-discharger,,,,0.0,,0.5307,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4869,,,,,,,,,0.0,,,,,,822421.3869,30.0,,,,,,,,,,,,,,,,,0.0,70640.57204116939
Hydrogen-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4779.9527,30.0,,,,,,,,,,,,,,,,,0.0,405.7529936562253
LNG storage tank,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,666.634,20.0,,,,,,,,,,,,,,,,,0.0,76.25821365992951
LOHC chemical,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2500.0,20.0,,,,,,,,,,,,,,,,,0.0,235.98231435813918
LOHC dehydrogenation,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,53681.4988,20.0,,,,,,,,,,,,,,,,,0.0,6677.598694015069
LOHC dehydrogenation (small scale),,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,839000.0,20.0,,,,,,,,,,,,,,,,,0.0,104365.6646985915
LOHC hydrogenation,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.004,,0.0,,,,,1.867,54243.958,20.0,0.944,,,,,,,,,,,,,,,,0.0,6747.564639514279
